"Alabama","0.029"
"Alaska","0.050"
"Arizona","0.033"
"Arkansas","0.031"
"California","0.049"
"Colorado","0.037"
"Connecticut","0.046"
"Delaware","0.045"
"District of Columbia","0.060"
"Florida","0.032"
"Georgia","0.031"
"Hawaii","0.041"
"Idaho","0.027"
"Illinois","0.047"
"Indiana","0.022"
"Iowa","0.033"
"Kansas","0.025"
"Kentucky","0.040"
"Louisiana","0.042"
"Maine","0.036"
"Maryland","0.046"
"Massachusetts","0.043"
"Michigan","0.044"
"Minnesota","0.025"
"Mississippi","0.042"
"Missouri","0.036"
"Montana","0.023"
"Nebraska","0.020"
"Nevada","0.050"
"New Hampshire","0.025"
"New Jersey","0.042"
"New Mexico","0.053"
"New York","0.046"
"North Carolina","0.035"
"North Dakota","0.029"
"Ohio","0.041"
"Oklahoma","0.027"
"Oregon","0.038"
"Pennsylvania","0.049"
"Rhode Island","0.034"
"South Carolina","0.034"
"South Dakota","0.025"
"Tennessee","0.032"
"Texas","0.044"
"Utah","0.020"
"Vermont","0.027"
"Virginia","0.030"
"Washington","0.042"
"West Virginia","0.037"
"Wisconsin","0.028"
"Wyoming","0.034"
"Puerto Rico","0.065"


